Wynagrodzenie;Trainee/Junior;Expert;Web;Wielkosc;Wiek;DuzeMiasto ;UoP;Med
12000;0;0;1;9;2;1;1;1
7000;0;0;1;9;9;0;1;1
8500;0;0;1;9;9;0;0;1
16500;0;1;1;10;2;1;1;1
8000;1;0;1;10;2;1;0;1
17300;0;0;0;10;2;1;0;1
23000;0;1;0;10;4;1;0;0
12000;0;0;0;10;4;0;0;0
10000;0;0;0;10;6;1;0;0
11000;0;0;1;10;6;0;1;1
6750;0;0;0;10;18;1;1;0
7250;0;0;1;13;7;1;0;0
8000;1;0;0;15;1;1;1;0
12500;0;1;1;15;8;0;1;0
5000;1;0;1;15;12;1;0;0
19500;0;1;0;20;2;1;0;0
4828;1;0;0;20;3;0;1;0
6000;1;0;1;20;4;0;0;1
14000;0;0;1;20;7;1;1;1
3400;1;0;1;20;12;0;1;0
5800;0;0;1;20;12;0;1;0
20500;0;1;0;25;2;1;0;0
3750;1;0;0;25;7;0;1;0
9000;0;0;1;25;12;1;0;1
13500;0;0;0;30;7;1;1;1
12000;0;0;1;30;9;0;0;0
7500;0;0;1;30;10;1;0;0
14500;0;0;1;30;11;1;1;1
12500;0;0;0;30;11;1;0;1
11500;0;0;1;30;11;1;0;1
6500;0;0;0;30;16;1;1;1
17000;0;0;0;35;10;1;0;1
8000;0;0;0;40;1;1;1;1
16500;0;0;1;40;5;1;0;0
13500;0;0;1;40;6;1;1;1
12500;0;0;1;40;6;1;0;0
12500;0;0;1;40;6;1;0;0
3300;1;0;0;40;18;0;0;0
12250;0;0;0;40;23;1;1;1
10500;0;0;1;45;11;0;0;1
15500;0;1;1;49;3;1;1;0
8500;0;0;0;50;4;1;1;0
14000;0;0;1;50;4;1;1;1
15000;0;0;1;50;4;0;1;1
21000;0;0;0;50;5;1;0;1
21000;0;1;0;50;5;1;0;1
15000;0;0;1;50;5;1;0;1
21000;0;0;0;50;6;1;0;0
12500;0;0;1;50;7;1;0;1
4550;1;0;0;50;7;0;1;0
17500;0;0;1;50;7;0;0;0
11050;0;0;0;50;8;1;0;1
17000;0;0;0;50;10;0;0;1
17500;0;1;1;50;10;1;0;1
9000;0;0;1;50;10;1;1;1
5250;1;0;1;50;15;0;0;1
14500;0;0;1;55;7;0;0;0
14500;0;0;0;55;9;1;0;1
15000;0;0;1;60;7;1;0;0
17500;0;0;0;60;8;1;0;1
11000;0;0;0;60;9;1;0;1
9500;0;0;1;60;11;0;1;1
11000;0;0;0;60;17;1;1;0
3500;1;0;0;60;20;0;0;1
3500;1;0;0;60;22;0;1;1
5500;0;0;1;60;22;1;1;1
3500;1;0;1;60;22;0;1;1
12750;0;0;1;70;1;1;1;1
13000;0;0;0;70;6;1;0;1
8500;0;0;1;70;14;0;1;1
5000;1;0;1;80;5;0;0;1
7000;0;0;0;80;5;0;0;1
14000;0;0;0;80;5;1;0;1
15500;0;1;0;80;11;1;0;1
9500;0;0;1;80;12;1;0;1
19500;0;0;0;90;5;1;0;1
11000;0;0;1;100;5;0;1;1
21000;0;0;1;100;8;1;0;1
8500;0;0;1;100;8;1;0;1
13500;0;0;1;100;8;1;0;1
16500;0;0;1;100;8;1;0;1
20000;0;1;0;100;12;1;0;1
13500;0;0;1;100;12;1;0;1
9750;0;0;1;100;12;1;0;1
19000;0;0;0;100;12;1;0;1
18500;0;0;0;100;12;1;0;1
14500;0;0;1;100;15;1;1;1
12000;0;0;0;100;22;0;0;1
24000;0;1;0;105;4;1;0;0
12500;0;0;0;130;5;1;0;1
13000;0;0;0;140;13;1;0;1
15000;0;0;0;140;13;1;0;0
13750;0;0;0;150;7;1;1;1
14000;0;1;1;150;10;0;1;1
14500;0;0;0;150;10;1;0;1
19000;0;0;1;150;14;1;0;0
9000;0;0;1;150;15;0;0;1
4250;1;0;0;170;13;0;1;1
10000;0;0;0;180;7;1;0;1
21000;0;1;0;200;10;1;0;1
13000;0;0;1;200;11;1;0;1
13000;0;0;1;200;11;1;0;1
4250;1;0;0;200;13;0;1;1
18000;0;0;1;200;13;1;0;1
15000;0;0;0;200;17;1;0;1
11250;0;0;1;200;23;1;1;1
12250;0;0;0;200;23;1;1;0
14250;0;0;1;200;23;1;0;1
10000;0;0;0;240;18;1;1;1
10000;0;0;0;240;18;1;0;1
6500;1;0;0;300;1;1;1;1
5950;1;0;1;300;14;1;1;1
22000;0;1;1;400;13;0;0;1
25200;0;1;0;400;13;1;0;1
20720;0;0;0;400;13;0;0;1
25600;0;1;1;400;13;1;0;1
15250;0;1;1;400;17;0;1;1
17000;0;0;0;500;15;0;1;1
15000;0;0;0;500;19;1;1;1
7500;1;0;1;500;20;1;0;1
17450;0;1;0;600;12;1;0;1
11650;0;0;0;600;12;0;1;1
15500;0;0;0;600;12;0;0;1
18500;0;1;1;700;14;1;0;1
16000;0;0;0;800;13;1;0;1
6000;1;0;0;800;18;0;0;1
6500;1;0;0;800;22;1;1;1
11000;0;0;0;260;15;1;1;1
20500;0;1;0;40;3;1;0;0
9750;0;0;0;100;7;1;0;1
10500;0;0;1;20;6;0;0;1
19500;0;0;1;50;3;1;0;1
15000;0;0;1;30;7;1;1;1
12500;0;1;1;100;5;0;1;1
7000;1;0;1;60;3;1;1;1
11000;0;0;1;560;19;1;1;1
13000;0;0;0;40;6;1;1;1
16000;0;0;0;160;8;1;1;1
16000;0;0;0;30;7;1;0;0
8500;0;0;1;80;4;1;0;1
8000;0;0;1;700;4;0;1;1
13000;0;0;1;40;21;1;1;1